연월일시,pm10,pm2.5,오존,이산화질소,일산화탄소,아황산가스
2022-01-04:19,29,18,0.015,0.031,0.5,0.004
2022-01-04:18,31,19,0.019,0.025,0.5,0.004
2022-01-04:17,37,20,0.024,0.021,0.5,0.004
2022-01-04:16,40,27,0.026,0.02,0.5,0.004
2022-01-04:15,46,31,0.026,0.019,0.6,0.004
2022-01-04:14,47,33,0.024,0.021,0.6,0.005
2022-01-04:13,44,32,0.023,0.019,0.6,0.004
2022-01-04:12,40,28,0.021,0.02,0.6,0.004
2022-01-04:11,38,26,0.02,0.019,0.6,0.004
2022-01-04:10,37,26,0.014,0.023,0.6,0.004
2022-01-04:09,37,30,0.009,0.028,0.6,0.004
2022-01-04:08,35,25,0.014,0.023,0.6,0.003
2022-01-04:07,33,24,0.016,0.02,0.5,0.003
2022-01-04:06,29,21,0.018,0.017,0.5,0.003
2022-01-04:05,31,23,0.02,0.015,0.5,0.003
2022-01-04:04,30,21,0.016,0.02,0.4,0.003
2022-01-04:03,28,20,0.012,0.025,0.5,0.003
2022-01-04:02,25,16,0.01,0.03,0.5,0.003
2022-01-04:01,25,18,0.002,0.043,0.5,0.003
2022-01-03:24,21,14,0.002,0.043,0.5,0.003
2022-01-03:23,21,15,0.003,0.041,0.5,0.004
2022-01-03:22,19,13,0.005,0.039,0.5,0.004
2022-01-03:21,20,16,0.004,0.043,0.6,0.003
2022-01-03:20,22,15,0.007,0.039,0.6,0.004
2022-01-03:19,27,15,0.006,0.039,0.5,0.004
2022-01-03:18,,,0.004,0.043,0.5,0.004
2022-01-03:17,,,,,,
2022-01-03:16,,,,,,
2022-01-03:15,32,20,0.015,0.036,0.5,0.004
2022-01-03:14,28,15,0.016,0.034,0.5,0.004
2022-01-03:13,33,18,0.012,0.039,0.7,0.003
2022-01-03:12,32,21,0.008,0.045,0.7,0.004
2022-01-03:11,37,23,0.005,0.051,0.9,0.004
2022-01-03:10,25,13,0.005,0.049,0.9,0.004
2022-01-03:09,28,14,0.003,0.047,0.8,0.003
2022-01-03:08,21,14,0.003,0.046,0.7,0.003
2022-01-03:07,22,13,0.005,0.039,0.5,0.003
2022-01-03:06,18,13,0.008,0.036,0.6,0.003
2022-01-03:05,23,16,0.01,0.03,0.6,0.003
2022-01-03:04,20,14,0.013,0.026,0.6,0.003
2022-01-03:03,22,15,0.016,0.024,0.5,0.003
2022-01-03:02,22,15,0.018,0.023,0.5,0.003
2022-01-03:01,22,17,0.017,0.025,0.5,0.003
2022-01-02:24,25,18,0.018,0.025,0.5,0.003
2022-01-02:23,27,18,0.016,0.027,0.5,0.003
2022-01-02:22,27,19,0.023,0.021,0.5,0.003
2022-01-02:21,26,18,0.028,0.017,0.5,0.003
2022-01-02:20,24,15,0.025,0.02,0.5,0.003
2022-01-02:19,25,17,0.03,0.017,0.4,0.003
2022-01-02:18,31,24,0.032,0.017,0.4,0.003
2022-01-02:17,33,24,0.035,0.014,0.4,0.004
2022-01-02:16,34,27,0.036,0.013,0.5,0.004
2022-01-02:15,43,33,0.037,0.012,0.5,0.004
2022-01-02:14,55,43,0.031,0.014,0.5,0.004
2022-01-02:13,58,46,0.027,0.016,0.6,0.004
2022-01-02:12,56,45,0.022,0.017,0.6,0.003
2022-01-02:11,42,30,0.012,0.031,0.6,0.003
2022-01-02:10,34,24,0.006,0.039,0.6,0.003
2022-01-02:09,35,22,0.003,0.042,0.6,0.003
2022-01-02:08,33,22,0.002,0.042,0.6,0.003
2022-01-02:07,33,26,0.004,0.041,0.5,0.003
2022-01-02:06,32,23,0.005,0.037,0.5,0.004
2022-01-02:05,33,25,0.005,0.039,0.5,0.003
2022-01-02:04,33,24,0.002,0.046,0.6,0.004
2022-01-02:03,35,26,0.002,0.052,0.8,0.004
2022-01-02:02,34,23,0.002,0.052,0.8,0.004
2022-01-02:01,38,24,0.002,0.052,0.8,0.004
2022-01-01:24,42,26,0.002,0.064,1.2,0.005
2022-01-01:23,41,29,0.002,0.066,1.2,0.005
2022-01-01:22,38,23,0.002,0.06,1,0.004
2022-01-01:21,36,20,0.002,0.053,0.8,0.004
2022-01-01:20,34,19,0.002,0.05,0.7,0.004
2022-01-01:19,35,22,0.002,0.052,0.7,0.004
2022-01-01:18,34,21,0.005,0.046,0.6,0.004
2022-01-01:17,36,20,0.012,0.039,0.5,0.004
2022-01-01:16,29,18,0.017,0.032,0.5,0.004
2022-01-01:15,29,18,0.02,0.03,0.5,0.004
2022-01-01:14,27,15,0.02,0.027,0.5,0.004
2022-01-01:13,28,17,0.02,0.028,0.5,0.004
2022-01-01:12,22,10,0.021,0.025,0.5,0.004
2022-01-01:11,22,10,0.024,0.02,0.4,0.004
2022-01-01:10,22,10,0.019,0.024,0.5,0.004
2022-01-01:09,26,12,0.006,0.038,0.6,0.003
2022-01-01:08,27,16,0.002,0.042,0.6,0.003
2022-01-01:07,24,14,0.002,0.044,0.6,0.003
2022-01-01:06,19,11,0.002,0.045,0.6,0.003
2022-01-01:05,24,11,0.005,0.04,0.5,0.003
2022-01-01:04,19,10,0.016,0.027,0.5,0.003
2022-01-01:03,20,9,0.014,0.028,0.5,0.003
2022-01-01:02,20,9,0.022,0.02,0.4,0.003
2022-01-01:01,23,12,0.026,0.016,0.4,0.003
2022-04-30:24,53,34,0.043,0.013,0.7,0.002
2022-04-30:23,54,35,0.046,0.013,0.6,0.003
2022-04-30:22,46,28,0.05,0.012,0.6,0.003
2022-04-30:21,44,26,0.048,0.013,0.5,0.003
2022-04-30:20,32,19,0.051,0.013,0.5,0.002
2022-04-30:19,21,12,0.052,0.009,0.4,0.003
2022-04-30:18,13,7,0.049,0.012,0.4,0.003
2022-04-30:17,17,8,0.052,0.01,0.3,0.002
2022-04-30:16,17,9,0.054,0.008,0.3,0.003
2022-04-30:15,18,11,0.053,0.011,0.3,0.003
2022-04-30:14,16,8,0.053,0.01,0.3,0.003
2022-04-30:13,18,11,0.045,0.013,0.4,0.003
2022-04-30:12,12,6,0.04,0.013,0.4,0.002
2022-04-30:11,8,2,0.034,0.016,0.3,0.003
2022-04-30:10,6,1,0.028,0.018,0.3,0.002
2022-04-30:09,8,2,0.027,0.019,0.3,0.003
2022-04-30:08,5,2,0.03,0.017,0.3,0.002
2022-04-30:07,4,4,0.031,0.015,0.3,0.003
2022-04-30:06,3,1,0.034,0.012,0.3,0.003
2022-04-30:05,3,1,0.036,0.01,0.3,0.002
2022-04-30:04,3,1,0.039,0.008,0.3,0.002
2022-04-30:03,3,1,0.04,0.008,0.3,0.002
2022-04-30:02,3,1,0.039,0.008,0.3,0.002
2022-04-30:01,4,1,0.038,0.01,0.3,0.002
2022-04-29:24,3,1,0.041,0.008,0.3,0.002
2022-04-29:23,5,2,0.039,0.009,0.3,0.003
2022-04-29:22,6,3,0.04,0.009,0.3,0.002
2022-04-29:21,9,3,0.04,0.01,0.4,0.002
2022-04-29:20,10,7,0.039,0.012,0.4,0.003
2022-04-29:19,7,4,0.037,0.012,0.4,0.002
2022-04-29:18,7,2,0.041,0.01,0.3,0.003
2022-04-29:17,7,1,0.041,0.01,0.3,0.002
2022-04-29:16,5,1,0.043,0.009,0.3,0.002
2022-04-29:15,5,1,0.043,0.01,0.3,0.003
2022-04-29:14,6,2,0.044,0.009,0.3,0.003
2022-04-29:13,6,1,0.044,0.01,0.3,0.003
2022-04-29:12,4,1,0.044,0.01,0.3,0.003
2022-04-29:11,5,1,0.044,0.009,0.3,0.002
2022-04-29:10,4,1,0.039,0.012,0.3,0.002
2022-04-29:09,3,3,0.036,0.012,0.3,0.003
2022-04-29:08,4,2,0.033,0.014,0.3,0.002
2022-04-29:07,8,4,0.037,0.011,0.3,0.002
2022-04-29:06,11,6,0.04,0.007,0.3,0.002
2022-04-29:05,14,8,0.042,0.006,0.3,0.002
2022-04-29:04,11,5,0.042,0.005,0.3,0.002
2022-04-29:03,13,4,0.041,0.006,0.3,0.002
2022-04-29:02,16,5,0.044,0.006,0.3,0.002
2022-04-29:01,18,8,0.046,0.006,0.3,0.002
2022-04-28:24,23,5,0.048,0.006,0.3,0.003
2022-04-28:23,32,8,0.048,0.006,0.3,0.002
2022-04-28:22,42,10,0.043,0.009,0.3,0.002
2022-04-28:21,58,18,0.041,0.012,0.4,0.002
2022-04-28:20,66,21,0.046,0.023,0.5,0.003
2022-04-28:19,72,21,0.052,0.022,0.5,0.004
2022-04-28:18,78,21,0.057,0.025,0.5,0.003
2022-04-28:17,96,24,0.059,0.025,0.5,0.004
2022-04-28:16,74,18,0.066,0.022,0.4,0.003
2022-04-28:15,75,20,0.072,0.016,0.4,0.003
2022-04-28:14,77,16,0.063,0.018,0.4,0.003
2022-04-28:13,87,15,0.054,0.018,0.4,0.004
2022-04-28:12,95,17,0.045,0.02,0.4,0.005
2022-04-28:11,99,18,0.028,0.029,0.5,0.003
2022-04-28:10,93,16,0.022,0.029,0.5,0.004
2022-04-28:09,79,18,0.016,0.03,0.5,0.003
2022-04-28:08,52,12,0.013,0.03,0.5,0.003
2022-04-28:07,56,14,0.012,0.029,0.4,0.003
2022-04-28:06,53,13,0.019,0.023,0.4,0.003
2022-04-28:05,55,14,0.025,0.016,0.4,0.003
2022-04-28:04,57,13,0.02,0.02,0.4,0.003
2022-04-28:03,59,15,0.016,0.024,0.5,0.002
2022-04-28:02,64,14,0.017,0.025,0.5,0.003
2022-04-28:01,76,15,0.02,0.023,0.4,0.003
2022-04-27:24,82,16,0.026,0.023,0.4,0.003
2022-04-27:23,94,18,0.026,0.025,0.4,0.003
2022-04-27:22,105,18,0.02,0.032,0.5,0.004
2022-04-27:21,115,19,0.028,0.026,0.4,0.003
2022-04-27:20,132,23,0.035,0.022,0.4,0.003
2022-04-27:19,148,23,0.041,0.018,0.4,0.003
2022-04-27:18,151,20,0.047,0.015,0.4,0.003
2022-04-27:17,161,21,0.057,0.013,0.3,0.003
2022-04-27:16,155,19,0.06,0.014,0.3,0.002
2022-04-27:15,138,17,0.049,0.015,0.3,0.003
2022-04-27:14,146,18,0.042,0.017,0.4,0.002
2022-04-27:13,157,20,0.042,0.016,0.4,0.003
2022-04-27:12,163,19,0.042,0.012,0.3,0.003
2022-04-27:11,187,20,0.039,0.013,0.3,0.002
2022-04-27:10,209,20,0.039,0.01,0.3,0.003
2022-04-27:09,214,20,0.038,0.009,0.3,0.003
2022-04-27:08,206,19,0.037,0.01,0.3,0.002
2022-04-27:07,179,20,0.036,0.011,0.3,0.002
2022-04-27:06,153,17,0.04,0.009,0.3,0.003
2022-04-27:05,139,17,0.043,0.007,0.3,0.002
2022-04-27:04,125,15,0.045,0.007,0.3,0.002
2022-04-27:03,100,16,0.047,0.006,0.3,0.002
2022-04-27:02,76,15,0.049,0.006,0.3,0.003
2022-04-27:01,67,13,0.051,0.006,0.3,0.002
2022-04-26:24,49,16,0.05,0.006,0.4,0.003
2022-04-26:23,43,15,0.05,0.006,0.4,0.003
2022-04-26:22,39,16,0.047,0.008,0.3,0.003
2022-04-26:21,42,15,0.045,0.012,0.4,0.002
2022-04-26:20,50,17,0.052,0.008,0.3,0.002
2022-04-26:19,67,23,0.051,0.008,0.3,0.003
2022-04-26:18,61,23,0.054,0.009,0.4,0.003
2022-04-26:17,59,29,0.06,0.009,0.4,0.003
2022-04-26:16,61,25,0.062,0.009,0.4,0.003
2022-04-26:15,55,24,0.064,0.01,0.4,0.003
2022-04-26:14,45,22,0.067,0.009,0.4,0.003
2022-04-26:13,32,13,0.063,0.008,0.4,0.003
2022-04-26:12,29,16,0.06,0.01,0.4,0.003
2022-04-26:11,27,18,0.051,0.012,0.4,0.003
2022-04-26:10,22,11,0.047,0.013,0.4,0.002
2022-04-26:09,23,13,0.042,0.014,0.4,0.003
2022-04-26:08,23,14,0.037,0.017,0.4,0.003
2022-04-26:07,26,19,0.033,0.017,0.4,0.003
2022-04-26:06,27,17,0.039,0.011,0.3,0.002
2022-04-26:05,31,18,0.042,0.009,0.3,0.002
2022-04-26:04,34,24,0.047,0.007,0.3,0.002
2022-04-26:03,50,34,0.036,0.013,0.5,0.003
2022-04-26:02,56,36,0.032,0.018,0.6,0.002
2022-04-26:01,56,36,0.032,0.024,0.6,0.003
2022-04-25:24,61,39,0.02,0.043,0.7,0.003
2022-04-25:23,58,40,0.005,0.06,0.9,0.003
2022-04-25:22,58,39,0.022,0.042,0.8,0.003
2022-04-25:21,58,39,0.028,0.039,0.8,0.003
2022-04-25:20,58,39,0.032,0.037,0.8,0.003
2022-04-25:19,56,34,0.05,0.027,0.8,0.003
2022-04-25:18,52,32,0.058,0.023,0.7,0.003
2022-04-25:17,46,30,0.063,0.02,0.7,0.003
2022-04-25:16,44,28,0.068,0.016,0.6,0.003
2022-04-25:15,45,29,0.068,0.016,0.6,0.003
2022-04-25:14,39,26,0.064,0.014,0.6,0.003
2022-04-25:13,38,27,0.051,0.019,0.6,0.003
2022-04-25:12,35,23,0.037,0.025,0.6,0.003
2022-04-25:11,39,24,0.031,0.025,0.6,0.003
2022-04-25:10,33,22,0.025,0.027,0.6,0.002
2022-04-25:09,33,23,0.026,0.023,0.6,0.003
2022-04-25:08,35,22,0.025,0.02,0.6,0.002
2022-04-25:07,71,48,0.032,0.016,0.6,0.003
2022-04-25:06,52,33,0.041,0.01,0.5,0.002
2022-04-25:05,38,26,0.043,0.008,0.5,0.002
2022-04-25:04,39,25,0.042,0.01,0.5,0.003
2022-04-25:03,40,24,0.045,0.009,0.6,0.002
2022-04-25:02,35,24,0.054,0.008,0.6,0.002
2022-04-25:01,33,22,0.059,0.007,0.6,0.002
2022-04-24:24,28,21,0.061,0.008,0.6,0.002
2022-04-24:23,33,24,0.059,0.008,0.5,0.002
2022-04-24:22,33,22,0.06,0.01,0.5,0.003
2022-04-24:21,36,23,0.057,0.012,0.5,0.002
2022-04-24:20,42,26,0.05,0.017,0.5,0.003
2022-04-24:19,49,30,0.062,0.013,0.5,0.004
2022-04-24:18,56,31,0.077,0.012,0.4,0.004
2022-04-24:17,58,30,0.086,0.01,0.4,0.003
2022-04-24:16,59,33,0.098,0.01,0.4,0.003
2022-04-24:15,56,34,0.091,0.008,0.4,0.003
2022-04-24:14,52,32,0.087,0.008,0.4,0.003
2022-04-24:13,51,34,0.079,0.009,0.4,0.003
2022-04-24:12,47,30,0.07,0.011,0.5,0.003
2022-04-24:11,45,29,0.062,0.011,0.4,0.003
2022-04-24:10,47,26,0.047,0.014,0.5,0.003
2022-04-24:09,45,25,0.044,0.015,0.5,0.003
2022-04-24:08,43,24,0.046,0.013,0.5,0.002
2022-04-24:07,44,27,0.051,0.011,0.5,0.003
2022-04-24:06,42,27,0.059,0.008,0.4,0.003
2022-04-24:05,45,27,0.062,0.008,0.4,0.003
2022-04-24:04,50,31,0.06,0.013,0.5,0.004
2022-04-24:03,54,29,0.057,0.019,0.5,0.004
2022-04-24:02,60,35,0.054,0.021,0.5,0.004
2022-04-24:01,82,52,0.046,0.031,0.6,0.004
2022-04-23:24,69,43,0.021,0.055,0.8,0.004
2022-04-23:23,64,42,0.018,0.055,0.8,0.005
2022-04-23:22,57,36,0.03,0.045,0.7,0.006
2022-04-23:21,56,37,0.038,0.039,0.6,0.005
2022-04-23:20,38,25,0.037,0.04,0.7,0.003
2022-04-23:19,31,20,0.059,0.02,0.4,0.003
2022-04-23:18,31,19,0.066,0.014,0.4,0.003
2022-04-23:17,29,21,0.068,0.014,0.4,0.003
2022-04-23:16,33,20,0.066,0.012,0.4,0.003
2022-04-23:15,34,23,0.063,0.013,0.4,0.003
2022-04-23:14,40,24,0.054,0.017,0.4,0.003
2022-04-23:13,49,31,0.052,0.016,0.5,0.003
2022-04-23:12,47,28,0.05,0.014,0.4,0.003
2022-04-23:11,61,38,0.045,0.019,0.5,0.004
2022-04-23:10,61,38,0.037,0.022,0.5,0.003
2022-04-23:09,57,36,0.031,0.023,0.5,0.003
2022-04-23:08,50,33,0.023,0.027,0.5,0.002
2022-04-23:07,50,36,0.023,0.025,0.6,0.002
2022-04-23:06,56,37,0.024,0.021,0.5,0.003
2022-04-23:05,60,41,0.037,0.014,0.5,0.002
2022-04-23:04,53,35,0.045,0.012,0.5,0.003
2022-04-23:03,55,39,0.05,0.011,0.5,0.002
2022-04-23:02,51,36,0.049,0.013,0.5,0.002
2022-04-23:01,54,37,0.051,0.012,0.4,0.002
2022-04-22:24,68,39,0.051,0.013,0.4,0.003
2022-04-22:23,76,41,0.052,0.013,0.4,0.002
2022-04-22:22,90,42,0.054,0.014,0.5,0.002
2022-04-22:21,108,50,0.048,0.018,0.5,0.003
2022-04-22:20,90,46,0.049,0.018,0.5,0.002
2022-04-22:19,76,45,0.057,0.016,0.5,0.003
2022-04-22:18,76,38,0.06,0.016,0.5,0.003
2022-04-22:17,75,40,0.06,0.016,0.5,0.003
2022-04-22:16,74,38,0.063,0.014,0.5,0.003
2022-04-22:15,71,37,0.061,0.017,0.5,0.002
2022-04-22:14,61,32,0.063,0.015,0.5,0.003
2022-04-22:13,46,25,0.063,0.017,0.4,0.003
2022-04-22:12,40,21,0.059,0.019,0.4,0.003
2022-04-22:11,40,20,0.058,0.019,0.4,0.003
2022-04-22:10,32,19,0.056,0.02,0.5,0.004
2022-04-22:09,27,19,0.055,0.02,0.5,0.003
2022-04-22:08,26,16,0.056,0.016,0.4,0.003
2022-04-22:07,26,17,0.058,0.014,0.4,0.004
2022-04-22:06,21,11,0.061,0.01,0.5,0.004
2022-04-22:05,21,12,0.062,0.008,0.4,0.003
2022-04-22:04,25,14,0.062,0.009,0.4,0.003
2022-04-22:03,27,14,0.063,0.009,0.4,0.004
2022-04-22:02,27,16,0.061,0.011,0.4,0.004
2022-04-22:01,34,18,0.059,0.013,0.5,0.004
2022-04-21:24,30,17,0.056,0.016,0.7,0.005
2022-04-21:23,30,16,0.058,0.015,0.7,0.004
2022-04-21:22,30,17,0.061,0.015,0.6,0.005
2022-04-21:21,34,20,0.064,0.013,0.4,0.003
2022-04-21:20,39,24,0.064,0.014,0.4,0.003
2022-04-21:19,40,23,0.068,0.016,0.4,0.003
2022-04-21:18,47,21,0.074,0.014,0.4,0.003
2022-04-21:17,46,19,0.07,0.016,0.4,0.003
2022-04-21:16,42,18,0.071,0.015,0.4,0.003
2022-04-21:15,47,20,0.073,0.017,0.4,0.003
2022-04-21:14,49,24,0.075,0.016,0.5,0.004
2022-04-21:13,45,25,0.07,0.018,0.5,0.004
2022-04-21:12,39,20,0.061,0.021,0.5,0.004
2022-04-21:11,56,33,0.049,0.037,0.6,0.004
2022-04-21:10,65,40,0.048,0.04,0.6,0.005
2022-04-21:09,65,44,0.036,0.047,0.7,0.005
2022-04-21:08,61,41,0.031,0.045,0.7,0.004
2022-04-21:07,60,41,0.023,0.049,0.7,0.003
2022-04-21:06,57,40,0.03,0.036,0.6,0.004
2022-04-21:05,57,41,0.034,0.035,0.6,0.004
2022-04-21:04,55,39,0.028,0.042,0.6,0.004
2022-04-21:03,57,42,0.042,0.028,0.6,0.004
2022-04-21:02,58,39,0.045,0.03,0.6,0.005
2022-04-21:01,59,40,0.049,0.031,0.6,0.005
2022-04-20:24,64,42,0.052,0.031,0.6,0.005
2022-04-20:23,71,46,0.059,0.03,0.6,0.004
2022-04-20:22,70,44,0.065,0.027,0.6,0.004
2022-04-20:21,76,45,0.07,0.027,0.6,0.005
2022-04-20:20,61,40,0.078,0.025,0.6,0.005
2022-04-20:19,50,30,0.076,0.021,0.5,0.004
2022-04-20:18,48,27,0.077,0.021,0.5,0.004
2022-04-20:17,50,27,0.082,0.019,0.4,0.005
2022-04-20:16,62,34,0.087,0.017,0.5,0.004
2022-04-20:15,,,0.093,0.021,0.5,0.005
2022-04-20:14,,,,,,
2022-04-20:13,,,,,,
2022-04-20:12,53,33,0.076,0.026,0.5,0.005
2022-04-20:11,60,35,0.075,0.025,0.6,0.005
2022-04-20:10,60,37,0.06,0.032,0.6,0.005
2022-04-20:09,70,48,0.049,0.035,0.6,0.004
2022-04-20:08,76,52,0.025,0.047,0.7,0.004
2022-04-20:07,77,58,0.019,0.049,0.7,0.003
2022-04-20:06,79,61,0.044,0.028,0.6,0.003
2022-04-20:05,91,69,0.044,0.024,0.6,0.004
2022-04-20:04,91,69,0.044,0.027,0.6,0.004
2022-04-20:03,91,67,0.049,0.025,0.7,0.004
2022-04-20:02,93,68,0.056,0.023,0.6,0.004
2022-04-20:01,89,64,0.052,0.03,0.7,0.004
2022-04-19:24,79,54,0.05,0.033,0.6,0.004
2022-04-19:23,78,52,0.054,0.031,0.6,0.004
2022-04-19:22,76,51,0.052,0.034,0.6,0.004
2022-04-19:21,70,46,0.056,0.033,0.6,0.004
2022-04-19:20,63,44,0.065,0.027,0.6,0.004
2022-04-19:19,62,39,0.074,0.023,0.6,0.003
2022-04-19:18,57,32,0.073,0.022,0.5,0.004
2022-04-19:17,56,31,0.079,0.017,0.5,0.004
2022-04-19:16,60,35,0.079,0.018,0.5,0.005
2022-04-19:15,68,44,0.088,0.022,0.6,0.005
2022-04-19:14,70,42,0.092,0.021,0.5,0.005
2022-04-19:13,73,43,0.072,0.024,0.5,0.004
2022-04-19:12,70,41,0.051,0.037,0.6,0.005
2022-04-19:11,75,47,0.046,0.041,0.6,0.005
2022-04-19:10,68,41,0.037,0.043,0.6,0.005
2022-04-19:09,65,38,0.023,0.048,0.6,0.004
2022-04-19:08,58,36,0.012,0.051,0.6,0.004
2022-04-19:07,62,38,0.013,0.047,0.6,0.003
2022-04-19:06,59,40,0.028,0.031,0.5,0.003
2022-04-19:05,59,37,0.036,0.024,0.5,0.003
2022-04-19:04,56,36,0.037,0.024,0.5,0.003
2022-04-19:03,58,36,0.039,0.024,0.5,0.003
2022-04-19:02,53,32,0.042,0.024,0.5,0.003
2022-04-19:01,54,31,0.041,0.027,0.5,0.003
2022-04-18:24,49,30,0.038,0.032,0.5,0.004
2022-04-18:23,52,30,0.046,0.028,0.5,0.003
2022-04-18:22,53,31,0.048,0.031,0.5,0.003
2022-04-18:21,57,33,0.049,0.031,0.6,0.003
2022-04-18:20,47,30,0.057,0.029,0.5,0.003
2022-04-18:19,45,20,0.07,0.021,0.5,0.003
2022-04-18:18,42,18,0.076,0.015,0.4,0.003
2022-04-18:17,44,22,0.069,0.018,0.4,0.004
2022-04-18:16,48,22,0.072,0.018,0.4,0.004
2022-04-18:15,55,29,0.08,0.019,0.4,0.004
2022-04-18:14,58,32,0.076,0.02,0.5,0.004
2022-04-18:13,65,40,0.067,0.024,0.5,0.005
2022-04-18:12,59,36,0.054,0.032,0.5,0.006
2022-04-18:11,57,33,0.047,0.034,0.5,0.006
2022-04-18:10,58,34,0.042,0.037,0.5,0.005
2022-04-18:09,61,39,0.034,0.039,0.5,0.005
2022-04-18:08,57,36,0.03,0.039,0.5,0.004
2022-04-18:07,58,36,0.034,0.034,0.5,0.004
2022-04-18:06,56,38,0.04,0.027,0.5,0.004
2022-04-18:05,55,38,0.056,0.016,0.5,0.004
2022-04-18:04,57,39,0.055,0.016,0.5,0.005
2022-04-18:03,61,40,0.051,0.018,0.5,0.004
2022-04-18:02,60,41,0.049,0.019,0.5,0.004
2022-04-18:01,62,40,0.048,0.023,0.5,0.003
2022-04-17:24,59,39,0.049,0.025,0.5,0.004
2022-04-17:23,58,35,0.049,0.027,0.5,0.004
2022-04-17:22,50,29,0.053,0.026,0.5,0.003
2022-04-17:21,52,30,0.053,0.026,0.6,0.004
2022-04-17:20,41,23,0.055,0.024,0.5,0.003
2022-04-17:19,39,21,0.064,0.018,0.4,0.003
2022-04-17:18,41,22,0.068,0.014,0.4,0.003
2022-04-17:17,44,22,0.068,0.015,0.4,0.003
2022-04-17:16,47,27,0.067,0.016,0.4,0.003
2022-04-17:15,50,35,0.083,0.015,0.5,0.004
2022-04-17:14,44,26,0.077,0.015,0.5,0.004
2022-04-17:13,41,25,0.061,0.016,0.5,0.004
2022-04-17:12,39,21,0.054,0.015,0.5,0.004
2022-04-17:11,42,24,0.049,0.015,0.5,0.004
2022-04-17:10,47,25,0.047,0.015,0.5,0.003
2022-04-17:09,53,30,0.041,0.016,0.5,0.004
2022-04-17:08,56,33,0.033,0.018,0.6,0.003
2022-04-17:07,60,36,0.03,0.019,0.6,0.003
2022-04-17:06,63,35,0.04,0.013,0.6,0.003
2022-04-17:05,63,35,0.035,0.015,0.6,0.003
2022-04-17:04,60,34,0.035,0.016,0.6,0.003
2022-04-17:03,61,34,0.04,0.015,0.6,0.003
2022-04-17:02,56,32,0.043,0.016,0.5,0.003
2022-04-17:01,58,33,0.042,0.02,0.6,0.003
2022-04-16:24,54,29,0.042,0.023,0.6,0.003
2022-04-16:23,50,25,0.045,0.023,0.5,0.003
2022-04-16:22,41,22,0.049,0.022,0.5,0.003
2022-04-16:21,40,21,0.051,0.02,0.4,0.003
2022-04-16:20,44,20,0.052,0.02,0.5,0.003
2022-04-16:19,46,16,0.053,0.016,0.4,0.004
2022-04-16:18,48,18,0.058,0.012,0.4,0.003
2022-04-16:17,46,19,0.06,0.009,0.4,0.003
2022-04-16:16,43,18,0.062,0.009,0.4,0.003
2022-04-16:15,41,17,0.06,0.007,0.3,0.003
2022-04-16:14,42,26,0.063,0.007,0.3,0.002
2022-04-16:13,44,29,0.06,0.01,0.4,0.003
2022-04-16:12,38,24,0.046,0.016,0.4,0.003
2022-04-16:11,32,22,0.038,0.022,0.4,0.003
2022-04-16:10,22,12,0.025,0.028,0.4,0.003
2022-04-16:09,18,7,0.019,0.029,0.4,0.003
2022-04-16:08,17,10,0.016,0.028,0.4,0.003
2022-04-16:07,16,12,0.015,0.028,0.4,0.003
2022-04-16:06,19,12,0.024,0.018,0.4,0.002
2022-04-16:05,17,15,0.027,0.016,0.4,0.002
2022-04-16:04,18,14,0.028,0.017,0.4,0.003
2022-04-16:03,20,12,0.032,0.016,0.4,0.002
2022-04-16:02,18,13,0.032,0.017,0.4,0.002
2022-04-16:01,20,15,0.038,0.014,0.4,0.002
2022-04-15:24,20,13,0.038,0.015,0.4,0.003
2022-04-15:23,20,11,0.039,0.014,0.4,0.002
2022-04-15:22,27,15,0.046,0.01,0.4,0.003
2022-04-15:21,34,20,0.049,0.013,0.4,0.003
2022-04-15:20,33,20,0.043,0.018,0.5,0.004
2022-04-15:19,31,17,0.046,0.014,0.4,0.003
2022-04-15:18,30,15,0.048,0.012,0.4,0.004
2022-04-15:17,28,17,0.051,0.011,0.3,0.003
2022-04-15:16,26,12,0.055,0.008,0.4,0.003
2022-04-15:15,25,10,0.055,0.009,0.4,0.003
2022-04-15:14,23,10,0.05,0.011,0.3,0.003
2022-04-15:13,22,7,0.04,0.015,0.4,0.003
2022-04-15:12,17,7,0.034,0.018,0.4,0.002
2022-04-15:11,13,3,0.034,0.016,0.3,0.002
2022-04-15:10,10,2,0.034,0.015,0.3,0.002
2022-04-15:09,8,1,0.034,0.014,0.3,0.002
2022-04-15:08,9,4,0.027,0.021,0.3,0.002
2022-04-15:07,10,8,0.026,0.021,0.3,0.002
2022-04-15:06,9,3,0.034,0.013,0.3,0.002
2022-04-15:05,8,4,0.04,0.008,0.3,0.002
2022-04-15:04,9,4,0.041,0.008,0.3,0.002
2022-04-15:03,10,3,0.04,0.008,0.3,0.002
2022-04-15:02,10,5,0.039,0.009,0.3,0.003
2022-04-15:01,8,5,0.04,0.009,0.3,0.003
2022-04-14:24,11,5,0.04,0.01,0.3,0.003
2022-04-14:23,11,8,0.036,0.012,0.3,0.002
2022-04-14:22,12,7,0.036,0.013,0.4,0.002
2022-04-14:21,14,7,0.036,0.014,0.4,0.003
2022-04-14:20,16,9,0.035,0.016,0.4,0.003
2022-04-14:19,14,9,0.036,0.015,0.4,0.003
2022-04-14:18,10,4,0.035,0.017,0.4,0.003
2022-04-14:17,13,8,0.035,0.017,0.3,0.004
