구분,급식_메뉴_이름,급식_메뉴_종류,배식량_단위g,잔반량_단위g,학생별_섭취율_정도,메뉴별_평균섭취율,종류별_평균섭취율,메뉴별_평균잔반율,종류별_평균잔반율
3096,라면사리,반찬류,30,30,낮음,67,59,59,59
3097,차수수밥,밥류,103,36,보통,76,81,81,81
3098,햄김치찌개,국/찌개류,167,116,보통,55,52,52,52
3099,달걀야채전,반찬류,82,77,낮음,45,59,59,59
3100,깍두기,반찬류,37,37,낮음,38,59,59,59
3101,자두,후식류,80,40,보통,61,73,73,73
3102,코다리강정,반찬류,58,50,낮음,60,59,59,59
3103,라면사리,반찬류,30,10,보통,67,59,59,59
3104,차수수밥,밥류,112,99,낮음,76,81,81,81
3105,햄김치찌개,국/찌개류,167,142,낮음,55,52,52,52
3106,달걀야채전,반찬류,77,66,낮음,45,59,59,59
3107,깍두기,반찬류,37,37,낮음,38,59,59,59
3108,자두,후식류,80,0,높음,61,73,73,73
3109,코다리강정,반찬류,41,33,낮음,60,59,59,59
3110,라면사리,반찬류,30,27,낮음,67,59,59,59
3111,차수수밥,밥류,112,0,높음,76,81,81,81
3112,햄김치찌개,국/찌개류,167,7,높음,55,52,52,52
3113,달걀야채전,반찬류,88,77,낮음,45,59,59,59
3114,깍두기,반찬류,37,25,보통,38,59,59,59
3115,자두,후식류,80,0,높음,61,73,73,73
3116,라면사리,반찬류,30,0,높음,67,59,59,59
3117,차수수밥,밥류,107,0,높음,76,81,81,81
3118,햄김치찌개,국/찌개류,180,129,보통,55,52,52,52
3119,달걀야채전,반찬류,88,0,높음,45,59,59,59
3120,깍두기,반찬류,37,37,낮음,38,59,59,59
3121,자두,후식류,80,0,높음,61,73,73,73
3122,코다리강정,반찬류,16,12,보통,60,59,59,59
3123,라면사리,반찬류,30,10,보통,67,59,59,59
3124,차수수밥,밥류,103,0,높음,76,81,81,81
3125,햄김치찌개,국/찌개류,180,142,낮음,55,52,52,52
3126,달걀야채전,반찬류,77,77,낮음,45,59,59,59
3127,깍두기,반찬류,50,38,낮음,38,59,59,59
3128,자두,후식류,80,0,높음,61,73,73,73
3129,코다리강정,반찬류,54,46,낮음,60,59,59,59
3130,라면사리,반찬류,30,4,높음,67,59,59,59
3131,차수수밥,밥류,107,0,높음,76,81,81,81
3132,햄김치찌개,국/찌개류,192,167,낮음,55,52,52,52
3133,달걀야채전,반찬류,71,0,높음,45,59,59,59
3134,깍두기,반찬류,50,9,높음,38,59,59,59
3135,자두,후식류,80,60,보통,61,73,73,73
3136,코다리강정,반찬류,54,0,높음,60,59,59,59
3137,라면사리,반찬류,30,14,보통,67,59,59,59
3138,차수수밥,밥류,103,90,낮음,76,81,81,81
3139,햄김치찌개,국/찌개류,167,155,낮음,55,52,52,52
3140,달걀야채전,반찬류,82,77,낮음,45,59,59,59
3141,자두,후식류,80,80,낮음,61,73,73,73
3142,코다리강정,반찬류,58,0,높음,60,59,59,59
3143,라면사리,반찬류,26,20,낮음,67,59,59,59
3144,햄김치찌개,국/찌개류,154,19,높음,55,52,52,52
3145,달걀야채전,반찬류,88,0,높음,45,59,59,59
3146,깍두기,반찬류,62,0,높음,38,59,59,59
3147,자두,후식류,80,0,높음,61,73,73,73
3148,코다리강정,반찬류,58,0,높음,60,59,59,59
3149,라면사리,반찬류,30,2,높음,67,59,59,59
3150,차수수밥,밥류,107,0,높음,76,81,81,81
3151,햄김치찌개,국/찌개류,192,154,낮음,55,52,52,52
3152,달걀야채전,반찬류,66,44,보통,45,59,59,59
3153,깍두기,반찬류,37,0,높음,38,59,59,59
3154,자두,후식류,80,0,높음,61,73,73,73
3155,코다리강정,반찬류,37,25,보통,60,59,59,59
3156,라면사리,반찬류,30,27,낮음,67,59,59,59
3157,차수수밥,밥류,107,0,높음,76,81,81,81
3158,햄김치찌개,국/찌개류,141,39,보통,55,52,52,52
3159,달걀야채전,반찬류,71,0,높음,45,59,59,59
3160,깍두기,반찬류,62,0,높음,38,59,59,59
3161,자두,후식류,80,0,높음,61,73,73,73
3162,코다리강정,반찬류,58,0,높음,60,59,59,59
3163,라면사리,반찬류,30,0,높음,67,59,59,59
3164,차수수밥,밥류,105,0,높음,76,81,81,81
3165,햄김치찌개,국/찌개류,180,13,높음,55,52,52,52
3166,달걀야채전,반찬류,82,77,낮음,45,59,59,59
3167,깍두기,반찬류,37,37,낮음,38,59,59,59
3168,자두,후식류,80,10,높음,61,73,73,73
3169,코다리강정,반찬류,41,0,높음,60,59,59,59
3170,라면사리,반찬류,30,0,높음,67,59,59,59
3171,차수수밥,밥류,103,14,높음,76,81,81,81
3172,햄김치찌개,국/찌개류,167,116,보통,55,52,52,52
3173,달걀야채전,반찬류,66,66,낮음,45,59,59,59
3174,깍두기,반찬류,50,38,낮음,38,59,59,59
3175,자두,후식류,80,80,낮음,61,73,73,73
3176,코다리강정,반찬류,41,0,높음,60,59,59,59
3177,라면사리,반찬류,30,27,낮음,67,59,59,59
3178,차수수밥,밥류,105,54,보통,76,81,81,81
3179,햄김치찌개,국/찌개류,141,6,높음,55,52,52,52
3180,달걀야채전,반찬류,88,22,높음,45,59,59,59
3181,깍두기,반찬류,66,62,낮음,38,59,59,59
3182,자두,후식류,80,0,높음,61,73,73,73
3183,코다리강정,반찬류,50,0,높음,60,59,59,59
3184,라면사리,반찬류,30,4,높음,67,59,59,59
3185,차수수밥,밥류,107,18,높음,76,81,81,81
3186,햄김치찌개,국/찌개류,115,13,높음,55,52,52,52
3187,달걀야채전,반찬류,77,0,높음,45,59,59,59
3188,깍두기,반찬류,50,50,낮음,38,59,59,59
3189,자두,후식류,80,80,낮음,61,73,73,73
3190,코다리강정,반찬류,50,0,높음,60,59,59,59
3191,라면사리,반찬류,30,14,보통,67,59,59,59
3192,차수수밥,밥류,109,67,보통,76,81,81,81
3193,햄김치찌개,국/찌개류,192,167,낮음,55,52,52,52
3194,달걀야채전,반찬류,82,0,높음,45,59,59,59
3195,깍두기,반찬류,37,37,낮음,38,59,59,59
3196,자두,후식류,80,0,높음,61,73,73,73
3197,코다리강정,반찬류,25,0,높음,60,59,59,59
3198,라면사리,반찬류,30,20,보통,67,59,59,59
3199,차수수밥,밥류,107,0,높음,76,81,81,81
3200,햄김치찌개,국/찌개류,180,39,높음,55,52,52,52
3201,달걀야채전,반찬류,77,0,높음,45,59,59,59
3202,깍두기,반찬류,50,50,낮음,38,59,59,59
3203,자두,후식류,80,30,보통,61,73,73,73
3204,라면사리,반찬류,30,2,높음,67,59,59,59
3205,차수수밥,밥류,107,0,높음,76,81,81,81
3206,햄김치찌개,국/찌개류,192,64,보통,55,52,52,52
3207,달걀야채전,반찬류,82,0,높음,45,59,59,59
3208,깍두기,반찬류,37,0,높음,38,59,59,59
3209,자두,후식류,80,0,높음,61,73,73,73
3210,코다리강정,반찬류,50,0,높음,60,59,59,59
3211,라면사리,반찬류,30,2,높음,67,59,59,59
3212,차수수밥,밥류,109,22,높음,76,81,81,81
3213,햄김치찌개,국/찌개류,180,129,보통,55,52,52,52
3214,달걀야채전,반찬류,77,0,높음,45,59,59,59
3215,깍두기,반찬류,41,37,낮음,38,59,59,59
3216,자두,후식류,80,80,낮음,61,73,73,73
3217,코다리강정,반찬류,58,33,보통,60,59,59,59
3218,라면사리,반찬류,30,7,높음,67,59,59,59
3219,차수수밥,밥류,107,0,높음,76,81,81,81
3220,햄김치찌개,국/찌개류,180,52,보통,55,52,52,52
3221,달걀야채전,반찬류,88,0,높음,45,59,59,59
3222,깍두기,반찬류,37,0,높음,38,59,59,59
3223,자두,후식류,80,0,높음,61,73,73,73
3224,코다리강정,반찬류,50,0,높음,60,59,59,59
3225,라면사리,반찬류,30,0,높음,67,59,59,59
3226,차수수밥,밥류,107,0,높음,76,81,81,81
3227,햄김치찌개,국/찌개류,180,52,보통,55,52,52,52
3228,달걀야채전,반찬류,77,0,높음,45,59,59,59
3229,깍두기,반찬류,25,0,높음,38,59,59,59
3230,자두,후식류,80,80,낮음,61,73,73,73
3231,코다리강정,반찬류,50,0,높음,60,59,59,59
3232,라면사리,반찬류,30,0,높음,67,59,59,59
3233,차수수밥,밥류,107,4,높음,76,81,81,81
3234,햄김치찌개,국/찌개류,192,141,보통,55,52,52,52
3235,달걀야채전,반찬류,77,77,낮음,45,59,59,59
3236,깍두기,반찬류,37,37,낮음,38,59,59,59
3237,자두,후식류,80,0,높음,61,73,73,73
3238,코다리강정,반찬류,41,41,낮음,60,59,59,59
3239,라면사리,반찬류,30,20,보통,67,59,59,59
3240,차수수밥,밥류,112,0,높음,76,81,81,81
3241,햄김치찌개,국/찌개류,154,0,높음,55,52,52,52
3242,달걀야채전,반찬류,77,0,높음,45,59,59,59
3243,깍두기,반찬류,62,0,높음,38,59,59,59
3244,자두,후식류,80,30,보통,61,73,73,73
3245,코다리강정,반찬류,50,0,높음,60,59,59,59
3246,라면사리,반찬류,30,0,높음,67,59,59,59
3247,차수수밥,밥류,109,0,높음,76,81,81,81
3248,햄김치찌개,국/찌개류,167,39,높음,55,52,52,52
3249,달걀야채전,반찬류,77,77,낮음,45,59,59,59
3250,깍두기,반찬류,37,0,높음,38,59,59,59
3251,자두,후식류,80,0,높음,61,73,73,73
3252,코다리강정,반찬류,41,0,높음,60,59,59,59
3253,라면사리,반찬류,30,2,높음,67,59,59,59
3254,차수수밥,밥류,107,27,높음,76,81,81,81
3255,햄김치찌개,국/찌개류,128,6,높음,55,52,52,52
3256,달걀야채전,반찬류,88,0,높음,45,59,59,59
3257,깍두기,반찬류,66,66,낮음,38,59,59,59
3258,자두,후식류,80,0,높음,61,73,73,73
3259,코다리강정,반찬류,58,25,보통,60,59,59,59
3260,라면사리,반찬류,30,0,높음,67,59,59,59
3261,차수수밥,밥류,103,14,높음,76,81,81,81
3262,햄김치찌개,국/찌개류,167,103,보통,55,52,52,52
3263,달걀야채전,반찬류,88,0,높음,45,59,59,59
3264,깍두기,반찬류,25,25,낮음,38,59,59,59
3265,자두,후식류,80,80,낮음,61,73,73,73
3266,코다리강정,반찬류,58,50,낮음,60,59,59,59
3267,라면사리,반찬류,30,10,보통,67,59,59,59
3268,차수수밥,밥류,112,0,높음,76,81,81,81
3269,햄김치찌개,국/찌개류,180,13,높음,55,52,52,52
3270,달걀야채전,반찬류,77,55,보통,45,59,59,59
3271,깍두기,반찬류,62,0,높음,38,59,59,59
3272,자두,후식류,80,50,보통,61,73,73,73
3273,코다리강정,반찬류,50,42,낮음,60,59,59,59
3274,라면사리,반찬류,30,0,높음,67,59,59,59
3275,차수수밥,밥류,107,0,높음,76,81,81,81
3276,햄김치찌개,국/찌개류,167,13,높음,55,52,52,52
3277,달걀야채전,반찬류,88,0,높음,45,59,59,59
3278,깍두기,반찬류,25,0,높음,38,59,59,59
3279,자두,후식류,80,80,낮음,61,73,73,73
3280,코다리강정,반찬류,66,0,높음,60,59,59,59
3281,라면사리,반찬류,30,2,높음,67,59,59,59
3282,차수수밥,밥류,107,0,높음,76,81,81,81
3283,햄김치찌개,국/찌개류,154,0,높음,55,52,52,52
3284,달걀야채전,반찬류,66,66,낮음,45,59,59,59
3285,깍두기,반찬류,37,37,낮음,38,59,59,59
3286,자두,후식류,80,0,높음,61,73,73,73
3287,코다리강정,반찬류,50,0,높음,60,59,59,59
3288,라면사리,반찬류,30,0,높음,67,59,59,59
3289,차수수밥,밥류,107,0,높음,76,81,81,81
3290,햄김치찌개,국/찌개류,180,0,높음,55,52,52,52
3291,달걀야채전,반찬류,88,55,보통,45,59,59,59
3292,깍두기,반찬류,37,25,보통,38,59,59,59
3293,자두,후식류,80,60,보통,61,73,73,73
3294,코다리강정,반찬류,50,0,높음,60,59,59,59
3295,라면사리,반찬류,30,17,보통,67,59,59,59
3296,차수수밥,밥류,107,0,높음,76,81,81,81
3297,햄김치찌개,국/찌개류,180,155,낮음,55,52,52,52
3298,달걀야채전,반찬류,82,71,낮음,45,59,59,59
3299,깍두기,반찬류,37,37,낮음,38,59,59,59
3300,자두,후식류,80,80,낮음,61,73,73,73
3301,코다리강정,반찬류,41,25,보통,60,59,59,59
3302,라면사리,반찬류,30,4,높음,67,59,59,59
3303,차수수밥,밥류,105,32,보통,76,81,81,81
3304,햄김치찌개,국/찌개류,141,116,낮음,55,52,52,52
3305,달걀야채전,반찬류,82,77,낮음,45,59,59,59
3306,깍두기,반찬류,37,37,낮음,38,59,59,59
3307,자두,후식류,80,80,낮음,61,73,73,73
3308,라면사리,반찬류,30,30,낮음,67,59,59,59
3309,차수수밥,밥류,107,7,높음,76,81,81,81
3310,햄김치찌개,국/찌개류,167,90,보통,55,52,52,52
3311,달걀야채전,반찬류,88,77,낮음,45,59,59,59
3312,깍두기,반찬류,25,21,낮음,38,59,59,59
3313,자두,후식류,80,25,보통,61,73,73,73
3314,코다리강정,반찬류,50,13,보통,60,59,59,59
3315,라면사리,반찬류,30,4,높음,67,59,59,59
3316,차수수밥,밥류,109,103,낮음,76,81,81,81
3317,햄김치찌개,국/찌개류,180,65,보통,55,52,52,52
3318,달걀야채전,반찬류,82,77,낮음,45,59,59,59
3319,깍두기,반찬류,50,50,낮음,38,59,59,59
3320,자두,후식류,80,80,낮음,61,73,73,73
3321,코다리강정,반찬류,50,42,낮음,60,59,59,59
3322,라면사리,반찬류,30,2,높음,67,59,59,59
3323,차수수밥,밥류,103,0,높음,76,81,81,81
3324,햄김치찌개,국/찌개류,141,116,낮음,55,52,52,52
3325,달걀야채전,반찬류,88,88,낮음,45,59,59,59
3326,깍두기,반찬류,50,50,낮음,38,59,59,59
3327,자두,후식류,80,80,낮음,61,73,73,73
3328,코다리강정,반찬류,33,0,높음,60,59,59,59
3329,라면사리,반찬류,30,4,높음,67,59,59,59
3330,차수수밥,밥류,107,9,높음,76,81,81,81
3331,햄김치찌개,국/찌개류,180,168,낮음,55,52,52,52
3332,달걀야채전,반찬류,88,77,낮음,45,59,59,59
3333,깍두기,반찬류,37,37,낮음,38,59,59,59
3334,자두,후식류,80,10,높음,61,73,73,73
3335,코다리강정,반찬류,58,50,낮음,60,59,59,59
3336,라면사리,반찬류,30,30,낮음,67,59,59,59
3337,차수수밥,밥류,112,5,높음,76,81,81,81
3338,햄김치찌개,국/찌개류,167,90,보통,55,52,52,52
3339,달걀야채전,반찬류,88,55,보통,45,59,59,59
3340,깍두기,반찬류,62,54,낮음,38,59,59,59
3341,자두,후식류,80,0,높음,61,73,73,73
3342,코다리강정,반찬류,50,0,높음,60,59,59,59
3343,라면사리,반찬류,30,4,높음,67,59,59,59
3344,차수수밥,밥류,107,63,보통,76,81,81,81
3345,햄김치찌개,국/찌개류,192,102,보통,55,52,52,52
3346,달걀야채전,반찬류,88,88,낮음,45,59,59,59
3347,깍두기,반찬류,50,50,낮음,38,59,59,59
3348,자두,후식류,80,0,높음,61,73,73,73
3349,코다리강정,반찬류,58,58,낮음,60,59,59,59
3350,라면사리,반찬류,30,4,높음,67,59,59,59
3351,차수수밥,밥류,107,0,높음,76,81,81,81
3352,햄김치찌개,국/찌개류,154,77,보통,55,52,52,52
3353,달걀야채전,반찬류,88,88,낮음,45,59,59,59
3354,깍두기,반찬류,25,25,낮음,38,59,59,59
3355,자두,후식류,80,0,높음,61,73,73,73
3356,코다리강정,반찬류,50,50,낮음,60,59,59,59
3357,차수수밥,밥류,103,0,높음,76,81,81,81
3358,햄김치찌개,국/찌개류,180,78,보통,55,52,52,52
3359,달걀야채전,반찬류,88,88,낮음,45,59,59,59
3360,깍두기,반찬류,25,25,낮음,38,59,59,59
3361,라면사리,반찬류,30,4,높음,67,59,59,59
3362,차수수밥,밥류,109,0,높음,76,81,81,81
3363,햄김치찌개,국/찌개류,167,0,높음,55,52,52,52
3364,달걀야채전,반찬류,88,77,낮음,45,59,59,59
3365,깍두기,반찬류,25,0,높음,38,59,59,59
3366,자두,후식류,80,80,낮음,61,73,73,73
3367,라면사리,반찬류,30,0,높음,67,59,59,59
3368,차수수밥,밥류,107,85,낮음,76,81,81,81
3369,햄김치찌개,국/찌개류,192,64,보통,55,52,52,52
3370,깍두기,반찬류,62,58,낮음,38,59,59,59
3371,자두,후식류,80,0,높음,61,73,73,73
3372,코다리강정,반찬류,58,58,낮음,60,59,59,59
3373,라면사리,반찬류,30,4,높음,67,59,59,59
3374,차수수밥,밥류,107,22,높음,76,81,81,81
3375,햄김치찌개,국/찌개류,192,77,보통,55,52,52,52
3376,달걀야채전,반찬류,77,77,낮음,45,59,59,59
3377,깍두기,반찬류,37,37,낮음,38,59,59,59
3378,자두,후식류,80,0,높음,61,73,73,73
3379,코다리강정,반찬류,33,8,높음,60,59,59,59
3380,라면사리,반찬류,30,24,낮음,67,59,59,59
3381,차수수밥,밥류,107,9,높음,76,81,81,81
3382,햄김치찌개,국/찌개류,180,90,보통,55,52,52,52
3383,달걀야채전,반찬류,88,88,낮음,45,59,59,59
3384,깍두기,반찬류,50,50,낮음,38,59,59,59
3385,라면사리,반찬류,30,4,높음,67,59,59,59
3386,차수수밥,밥류,105,0,높음,76,81,81,81
3387,햄김치찌개,국/찌개류,192,6,높음,55,52,52,52
3388,달걀야채전,반찬류,88,66,보통,45,59,59,59
3389,깍두기,반찬류,62,62,낮음,38,59,59,59
3390,자두,후식류,80,80,낮음,61,73,73,73
3391,코다리강정,반찬류,58,0,높음,60,59,59,59
3392,라면사리,반찬류,30,2,높음,67,59,59,59
3393,차수수밥,밥류,103,103,낮음,76,81,81,81
3394,햄김치찌개,국/찌개류,180,180,낮음,55,52,52,52
3395,달걀야채전,반찬류,88,88,낮음,45,59,59,59
3396,자두,후식류,80,80,낮음,61,73,73,73
3397,라면사리,반찬류,30,30,낮음,67,59,59,59
3398,차수수밥,밥류,107,0,높음,76,81,81,81
3399,햄김치찌개,국/찌개류,167,155,낮음,55,52,52,52
3400,달걀야채전,반찬류,77,77,낮음,45,59,59,59
3401,깍두기,반찬류,37,37,낮음,38,59,59,59
3402,자두,후식류,80,80,낮음,61,73,73,73
3403,코다리강정,반찬류,50,0,높음,60,59,59,59
3404,라면사리,반찬류,30,30,낮음,67,59,59,59
3405,차수수밥,밥류,107,67,보통,76,81,81,81
3406,햄김치찌개,국/찌개류,180,180,낮음,55,52,52,52
3407,달걀야채전,반찬류,77,0,높음,45,59,59,59
3408,깍두기,반찬류,62,62,낮음,38,59,59,59
3409,자두,후식류,80,70,낮음,61,73,73,73
3410,코다리강정,반찬류,58,0,높음,60,59,59,59
3411,라면사리,반찬류,30,30,낮음,67,59,59,59
3412,차수수밥,밥류,112,90,낮음,76,81,81,81
3413,햄김치찌개,국/찌개류,186,154,낮음,55,52,52,52
3414,달걀야채전,반찬류,88,55,보통,45,59,59,59
3415,깍두기,반찬류,62,62,낮음,38,59,59,59
3416,자두,후식류,80,80,낮음,61,73,73,73
3417,라면사리,반찬류,30,30,낮음,67,59,59,59
3418,차수수밥,밥류,105,0,높음,76,81,81,81
3419,햄김치찌개,국/찌개류,154,77,보통,55,52,52,52
3420,달걀야채전,반찬류,88,88,낮음,45,59,59,59
3421,깍두기,반찬류,37,37,낮음,38,59,59,59
3422,자두,후식류,80,80,낮음,61,73,73,73
3423,코다리강정,반찬류,50,17,보통,60,59,59,59
3424,라면사리,반찬류,30,7,높음,67,59,59,59
3425,차수수밥,밥류,112,108,낮음,76,81,81,81
3426,햄김치찌개,국/찌개류,192,192,낮음,55,52,52,52
3427,달걀야채전,반찬류,88,0,높음,45,59,59,59
3428,깍두기,반찬류,37,37,낮음,38,59,59,59
3429,자두,후식류,80,60,보통,61,73,73,73
3430,코다리강정,반찬류,41,0,높음,60,59,59,59
3431,라면사리,반찬류,30,30,낮음,67,59,59,59
3432,차수수밥,밥류,107,27,높음,76,81,81,81
3433,햄김치찌개,국/찌개류,167,103,보통,55,52,52,52
3434,달걀야채전,반찬류,88,55,보통,45,59,59,59
3435,깍두기,반찬류,25,25,낮음,38,59,59,59
3436,자두,후식류,80,80,낮음,61,73,73,73
3437,코다리강정,반찬류,58,50,낮음,60,59,59,59
3438,라면사리,반찬류,30,20,보통,67,59,59,59
3439,차수수밥,밥류,107,22,높음,76,81,81,81
3440,햄김치찌개,국/찌개류,102,12,높음,55,52,52,52
3441,달걀야채전,반찬류,88,0,높음,45,59,59,59
3442,깍두기,반찬류,37,33,낮음,38,59,59,59
3443,자두,후식류,80,0,높음,61,73,73,73
3444,코다리강정,반찬류,58,33,보통,60,59,59,59
3445,라면사리,반찬류,30,2,높음,67,59,59,59
3446,차수수밥,밥류,85,0,높음,76,81,81,81
3447,햄김치찌개,국/찌개류,167,103,보통,55,52,52,52
3448,달걀야채전,반찬류,88,22,높음,45,59,59,59
3449,깍두기,반찬류,37,37,낮음,38,59,59,59
3450,자두,후식류,80,0,높음,61,73,73,73
3451,코다리강정,반찬류,50,0,높음,60,59,59,59
3452,라면사리,반찬류,30,4,높음,67,59,59,59
3453,차수수밥,밥류,107,0,높음,76,81,81,81
3454,햄김치찌개,국/찌개류,186,90,보통,55,52,52,52
3455,달걀야채전,반찬류,77,11,높음,45,59,59,59
3456,깍두기,반찬류,37,37,낮음,38,59,59,59
3457,자두,후식류,80,0,높음,61,73,73,73
3458,코다리강정,반찬류,58,0,높음,60,59,59,59
3459,라면사리,반찬류,30,10,보통,67,59,59,59
3460,차수수밥,밥류,107,0,높음,76,81,81,81
3461,햄김치찌개,국/찌개류,180,78,보통,55,52,52,52
3462,달걀야채전,반찬류,88,88,낮음,45,59,59,59
3463,깍두기,반찬류,37,37,낮음,38,59,59,59
3464,자두,후식류,80,0,높음,61,73,73,73
3465,코다리강정,반찬류,58,0,높음,60,59,59,59
3466,라면사리,반찬류,30,2,높음,67,59,59,59
3467,차수수밥,밥류,103,63,보통,76,81,81,81
3468,햄김치찌개,국/찌개류,167,155,낮음,55,52,52,52
3469,달걀야채전,반찬류,88,66,보통,45,59,59,59
3470,깍두기,반찬류,25,25,낮음,38,59,59,59
3471,자두,후식류,80,60,보통,61,73,73,73
3472,코다리강정,반찬류,58,0,높음,60,59,59,59
3473,라면사리,반찬류,30,27,낮음,67,59,59,59
3474,차수수밥,밥류,107,90,낮음,76,81,81,81
3475,햄김치찌개,국/찌개류,167,155,낮음,55,52,52,52
3476,달걀야채전,반찬류,77,77,낮음,45,59,59,59
3477,깍두기,반찬류,50,42,낮음,38,59,59,59
3478,자두,후식류,80,20,높음,61,73,73,73
3479,라면사리,반찬류,30,30,낮음,67,59,59,59
3480,차수수밥,밥류,107,0,높음,76,81,81,81
3481,햄김치찌개,국/찌개류,192,64,보통,55,52,52,52
3482,달걀야채전,반찬류,77,77,낮음,45,59,59,59
3483,깍두기,반찬류,50,38,낮음,38,59,59,59
3484,자두,후식류,80,25,보통,61,73,73,73
3485,코다리강정,반찬류,50,46,낮음,60,59,59,59
3486,라면사리,반찬류,30,2,높음,67,59,59,59
3487,차수수밥,밥류,107,2,높음,76,81,81,81
3488,햄김치찌개,국/찌개류,180,39,높음,55,52,52,52
3489,달걀야채전,반찬류,88,0,높음,45,59,59,59
3490,깍두기,반찬류,37,29,낮음,38,59,59,59
3491,자두,후식류,80,5,높음,61,73,73,73
3492,코다리강정,반찬류,58,42,보통,60,59,59,59
3493,라면사리,반찬류,30,2,높음,67,59,59,59
3494,차수수밥,밥류,35,0,높음,76,81,81,81
3495,햄김치찌개,국/찌개류,128,90,보통,55,52,52,52
3496,달걀야채전,반찬류,66,0,높음,45,59,59,59
3497,자두,후식류,35,0,높음,61,73,73,73
3498,코다리강정,반찬류,16,0,높음,60,59,59,59
3499,햄김치찌개,국/찌개류,180,129,보통,55,52,52,52
3500,깍두기,반찬류,45,37,낮음,38,59,59,59
3501,라면사리,반찬류,30,30,낮음,67,59,59,59
3502,차수수밥,밥류,107,90,낮음,76,81,81,81
3503,햄김치찌개,국/찌개류,167,65,보통,55,52,52,52
3504,달걀야채전,반찬류,88,77,낮음,45,59,59,59
3505,깍두기,반찬류,37,37,낮음,38,59,59,59
3506,자두,후식류,80,80,낮음,61,73,73,73
3507,코다리강정,반찬류,58,50,낮음,60,59,59,59
3508,라면사리,반찬류,30,14,보통,67,59,59,59
3509,차수수밥,밥류,107,0,높음,76,81,81,81
3510,햄김치찌개,국/찌개류,167,103,보통,55,52,52,52
3511,달걀야채전,반찬류,77,22,보통,45,59,59,59
3512,깍두기,반찬류,37,37,낮음,38,59,59,59
3513,자두,후식류,80,80,낮음,61,73,73,73
3514,코다리강정,반찬류,50,34,보통,60,59,59,59
3515,라면사리,반찬류,30,20,보통,67,59,59,59
3516,햄김치찌개,국/찌개류,167,77,보통,55,52,52,52
3517,깍두기,반찬류,37,37,낮음,38,59,59,59
3518,코다리강정,반찬류,41,41,낮음,60,59,59,59
3519,라면사리,반찬류,23,13,보통,67,59,59,59
3520,차수수밥,밥류,109,107,낮음,76,81,81,81
3521,햄김치찌개,국/찌개류,192,115,보통,55,52,52,52
3522,달걀야채전,반찬류,66,61,낮음,45,59,59,59
3523,깍두기,반찬류,50,38,낮음,38,59,59,59
3524,자두,후식류,80,0,높음,61,73,73,73
3525,코다리강정,반찬류,41,33,낮음,60,59,59,59
3526,라면사리,반찬류,30,10,보통,67,59,59,59
3527,차수수밥,밥류,107,0,높음,76,81,81,81
3528,햄김치찌개,국/찌개류,180,116,보통,55,52,52,52
3529,달걀야채전,반찬류,77,77,낮음,45,59,59,59
3530,깍두기,반찬류,37,0,높음,38,59,59,59
3531,자두,후식류,80,60,보통,61,73,73,73
3532,라면사리,반찬류,30,4,높음,67,59,59,59
3533,차수수밥,밥류,112,86,낮음,76,81,81,81
3534,햄김치찌개,국/찌개류,167,103,보통,55,52,52,52
3535,달걀야채전,반찬류,77,72,낮음,45,59,59,59
3536,깍두기,반찬류,50,38,낮음,38,59,59,59
3537,자두,후식류,80,80,낮음,61,73,73,73
3538,코다리강정,반찬류,58,0,높음,60,59,59,59
3539,라면사리,반찬류,30,24,낮음,67,59,59,59
3540,차수수밥,밥류,107,2,높음,76,81,81,81
3541,햄김치찌개,국/찌개류,167,7,높음,55,52,52,52
3542,달걀야채전,반찬류,88,66,보통,45,59,59,59
3543,깍두기,반찬류,37,25,보통,38,59,59,59
3544,자두,후식류,80,50,보통,61,73,73,73
3545,라면사리,반찬류,30,0,높음,67,59,59,59
3546,차수수밥,밥류,107,103,낮음,76,81,81,81
3547,햄김치찌개,국/찌개류,167,52,보통,55,52,52,52
3548,깍두기,반찬류,41,37,낮음,38,59,59,59
3549,자두,후식류,80,80,낮음,61,73,73,73
3550,라면사리,반찬류,30,30,낮음,67,59,59,59
3551,차수수밥,밥류,109,71,보통,76,81,81,81
3552,햄김치찌개,국/찌개류,141,116,낮음,55,52,52,52
3553,달걀야채전,반찬류,88,83,낮음,45,59,59,59
3554,깍두기,반찬류,37,29,낮음,38,59,59,59
3555,자두,후식류,80,80,낮음,61,73,73,73
3556,코다리강정,반찬류,50,50,낮음,60,59,59,59
3557,라면사리,반찬류,30,30,낮음,67,59,59,59
3558,차수수밥,밥류,107,85,낮음,76,81,81,81
3559,햄김치찌개,국/찌개류,180,90,보통,55,52,52,52
3560,달걀야채전,반찬류,88,0,높음,45,59,59,59
3561,깍두기,반찬류,37,29,낮음,38,59,59,59
3562,자두,후식류,80,0,높음,61,73,73,73
3563,코다리강정,반찬류,30,17,보통,60,59,59,59
3564,라면사리,반찬류,30,0,높음,67,59,59,59
3565,차수수밥,밥류,107,0,높음,76,81,81,81
3566,햄김치찌개,국/찌개류,180,0,높음,55,52,52,52
3567,달걀야채전,반찬류,66,0,높음,45,59,59,59
3568,깍두기,반찬류,37,25,보통,38,59,59,59
3569,자두,후식류,80,60,보통,61,73,73,73
3570,코다리강정,반찬류,50,0,높음,60,59,59,59
3571,라면사리,반찬류,30,0,높음,67,59,59,59
3572,차수수밥,밥류,109,89,낮음,76,81,81,81
